calendar|日历, 日程表
calorie|卡路里（热量单位）
camel|骆驼, 打捞浮筒
campaign|战役, 运动, 竞选运动
campus|校园, 大学生活
canal|运河, 水道, 管, 沟渠
cancel|取消, 撤消, 盖销(邮票)
cancer|癌, 恶性肿瘤
candidate|候选人, 投考者
candy|糖果, 冰糖
cannon|大炮, 加农炮
canoe|独木舟, 轻舟
canteen|水壶, 军中俱乐部, 临时流动餐馆,…
canvas|帆布, 画布, 油画
capable|有能力的，能干的
capacity|容量, 能力, 才能, 资格
cape|岬, 海角, 披肩, 斗蓬
capsule|胶囊, 蒴果, 瓶帽, 航天舱
captive|俘虏, 迷恋者
capture|抓取, 战利品, 捕获之物
carbohydrate|碳水化合物, 糖类
carbon|碳, 副本, 复写纸
card|卡片, 纸牌, 节目单, 明信片, …
cardinal|红衣主教, 鲜红色
care|小心, 照料, 忧虑
career|事业, 生涯, 成功
careful|小心的, 谨慎的
cargo|货物
carpenter|木匠
carriage|马车, 客车, 举止, 运输
carrier|运送者, 邮递员, 带菌者
cartoon|卡通画, 漫画
carve|雕刻, 切开
case|情形, 情况, 箱, 容器, 事实,…
cash|现金
cashier|出纳员
cassette|盒式磁带, 珠宝箱, 暗盒
cast|演员阵容, 投掷, 铸件, 预测, 特性
casual|偶然的, 不经意的, 便装的
casualty|意外事故, 伤亡, 受害者
catalog|目录, 大学概况手册
catastrophe|大灾难，大祸
catch|捕捉, 陷阱, 捕捉之物, 抓, 拉手
category|种类, 类项
cater|提供饮食及服务, 投合, 迎合
cathedral|大教堂
catholic|天主教徒
cause|原因, 目标
caution|小心, 慎重, 警示
cautious|小心的，谨慎的
cease|停止
celebrity|名声, 名人
cell|单元, 细胞, 电池
cellar|地窖, 地下室, 藏酒
cement|水泥, 胶结剂
cemetery|墓地, 公墓
censorship|检查制度
census|户口普查
centigrade|百分度的, 摄氏的
centimetre|厘米, 公分
central|中央的, 重要的
centre|中心, 中心点, 中锋
century|世纪, 百年
ceremony|典礼, 仪式, 礼节
certainty|确定, 确实的事情
certificate|证书, 证明书
certify|证明, 保证
challenge|挑战, 盘问
chamber|室, 房间, 枪膛
champagne|香槟酒, 香槟酒色
champion|冠军, 拥护者, 战士
chancellor|大臣, 总理, 首相, 大使馆/领事…
channel|海峡, 航道, 频道
chaos|大混乱, 混沌
chapter|章, 篇, 重要章节
character|个性, 字符, 人物, 性质, 品格…
characterise|表示...的特性, 成为/是...的…
characteristic|特性, 特征, 特色
charge|指控, 费用, 冲锋, 电荷, 炸药…
charity|慈悲, 博爱, 慈善团体, 施舍
charm|吸引力, 魔力, 符咒
chart|图表, 海图
charter|特许状, 执照, 宪章
chase|追求, 狩猎, 追逐
cheat|欺骗, 作弊, 骗子
chef|厨师
chemical|化学药品
chemist|化学家, 药剂师
chemistry|化学, 化学过程
cheque|支票
cherish|珍爱, 怀有, 爱护
cherry|樱桃, 樱桃树, 樱桃色
chess|国际象棋
chew|咀嚼, 嚼碎
chief|领袖, 酋长, 长官, 主要部分
childhood|孩童时期
chill|寒冷, 寒意, 失意
chin|下巴, 颏
China|中国, 瓷器
chip|屑片, 薄片, 碎片
choice|选择, 精选品, 选择权
choir|唱诗班, 唱诗班的席位
choke|窒息, 阻塞, 噎, 抑制
choose|选择, 宁愿, 欲
chop|肋条肉, 排骨, 砍, 戳记, 商标
chorus|合唱队, 齐声
Christ|基督, 救世主
Christian|基督徒, 正派人
chronic|慢性的，长期的
chunk|大块, 矮胖的人(或物)
cigar|雪茄
cigaret|纸烟, 卷烟, 香烟
circle|圆周, 社交圈, 循环, 范围
circuit|电路, 环(行)道, 巡回
circular|圆形的
circulate|(使)流通, (使)循环, (使)传播
circumstance|环境, 状况, 事件
circus|马戏团, 马戏, 竞技场
cite|引用, 引证, 表彰
civil|市民的, 公民的, 有礼貌的
civilian|平民, 民法专家
civilisation|文明, 文明世界, 文化, 开化, 教化
civilise|开化, 使文明, (非正式)教化, …
claim|要求, 要求权, 断言, 权利
clarify|澄清，阐明
clarity|清楚, 明晰
clash|冲突, 撞击声, 抵触
clasp|扣子, 钩, 紧握
classic|古典作品, 杰作, 大艺术家
classical|古典的, 正统派的, 经典的
classification|分类, 分级
classify|分类, 归类, 分等
classroom|教室
clause|子句, 条款
clay|泥土, 肉体, 黏土
clergy|牧师, 僧侣, 神职人员
clever|聪明的, 精明的
click|咔哒声, 啪嗒声
client|客户, 顾客, 委托人
cliff|悬崖, 绝壁
climate|气候, 社会趋势, 气候区
climax|高潮, 极点, 层进法
climb|攀登, 上升, 爬
cling|粘紧, 附着, 紧贴, 坚持
clip|修剪, 夹子, 回形针, 剪下来的东西
cloak|斗蓬, 大氅, 掩护
clock|时钟, 计时器, (袜子上的)绣花边花
clockwise|顺时针方向的
clone|无性系
closet|壁橱, 小室
clothe|给...穿衣, 盖上, 赋予
cloudy|多云的, 有愁容的, 云的, 浑浊的
club|俱乐部, 木棍, 球棒
clue|线索, 暗示
clumsy|笨拙的, 不雅观的, 粗陋的
cluster|串, 丛, 群, 簇
