heroic|英勇的, 英雄式的, 壮丽雄伟的
heroin|海洛因, 吗啡
herself|她自己, 她亲自
hesitate|犹豫, 迟疑, 踌躇, 支吾, 停顿
hide|兽皮, 迹象, 躲藏处
hierarchy|等级制度, 僧侣统治, 等级体系
highlight|加亮区, 精彩场面
highly|非常, 非常赞许地
highway|公路, 大道, 捷径
hijack|抢劫, 劫持, 敲诈
hike|徒步旅行, 远足, 涨价, 提高
hill|小山, 丘陵, 小土堆
himself|他自己, 他亲自
hinder|后面的
hinge|铰链, 关键, 枢纽
hint|暗示, 提示
historian|历史学家, 记事者
historic|历史上著名的, 有历史性的
historical|历史的, 史实的, 历史上的
history|历史, 过去, 经历, 发展过程, …
hitherto|迄今, 至今
hoist|升高, 起重机, 推动
holder|持有人, 所有人, 支持物
holiday|假日, 假期, 节日
hollow|洞, 窟窿, 山谷
homework|家庭作业, 家里做的工作
homogeneous|同种的, 同质的, 齐性的
honor|荣誉, 头衔, 信用, 尊敬, 名誉…
honorable|值得尊敬的, 荣耀的, 高贵的
hopeful|有希望之人, 有前途之人
horizon|地平线, 眼界, (天)视地平
horizontal|水平线, 水平面, 水平位置
hormone|荷尔蒙
horn|角, 角质, 喇叭, 号角
horrible|可怕的, 遭透的, 极讨厌的
horror|惊骇, 恐怖, 惨状
horsepower|马力
hose|水管, 橡皮软管, 长统袜
hospitality|款待, 亲切, 殷勤
hostage|人质, 抵押品
hostile|敌人的, 怀敌意的, 敌对的
hound|猎犬
household|一家人, 家庭, 家族, 王室
hover|盘旋, 翱翔, 徘徊
however|然而, 无论如何, 究竟怎样
howl|嗥叫, 吠声, 号叫
huddle|杂乱一团, 混乱, 拥挤
huge|极大的, 巨大的, 无限的
human|人, 人类
humanity|人性, 人类, 博爱
humble|低下的, 谦逊的, 粗陋的
humid|潮湿的, 湿润的, 多湿气的
humidity|湿气, 潮湿, 湿度
humiliate|使丢脸, 使蒙羞, 屈辱
humor|幽默, 诙谐, 心情
hunger|饥饿, 渴望, 饥荒
hurl|用力的投掷
hurry|匆忙, 急忙, 急促
hurt|伤害, 创伤, 损害
hybrid|混血儿, 杂种, 混合物
hydrogen|氢
hygiene|卫生保健, 卫生学, 保健法
hypocrisy|伪善
hypothesis|假设
hysterical|歇斯底里的, 异常兴奋的
ice cream|冰淇淋
icon|画像, 肖像, 偶像, 图标, 像标
ideal|理想, 典范, 观念, 思想, 最后目标
identical|同一的, 恒等的, 完全相同的
identification|识别, 身份证明, 认同
identify|识别, 认为...等同于, 确定, …
identity|身份, 相同, 一致, 特性, 恒等式
